Unnamed: 0,game_id,game_title,month,peak_users,picture_url
663300,271590,Grand Theft Auto V,2018-03-01,94489,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
627950,238960,Path of Exile,2018-03-01,81781,https://steamcdn-a.akamaihd.net/steam/apps/238960/logo.png
632442,230410,Warframe,2018-03-01,81338,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
686754,552500,Warhammer: Vermintide 2,2018-03-01,73203,https://steamcdn-a.akamaihd.net/steam/apps/552500/logo.png
691683,346110,ARK: Survival Evolved,2018-03-01,64647,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
691258,252950,Rocket League,2018-03-01,63578,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
693055,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-02-01,2934761,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691857,570,Dota 2,2018-02-01,779299,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673316,730,Counter-Strike: Global Offensive,2018-02-01,686588,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
687299,359550,Tom Clancy's Rainbow Six Siege,2018-02-01,125133,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
623154,379430,Kingdom Come: Deliverance,2018-02-01,95863,https://steamcdn-a.akamaihd.net/steam/apps/379430/logo.png
663301,271590,Grand Theft Auto V,2018-02-01,94308,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
632443,230410,Warframe,2018-02-01,82384,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
531517,265590,The Red Solstice,2018-02-01,81972,https://steamcdn-a.akamaihd.net/steam/apps/265590/logo.png
640348,289070,Sid Meier's Civilization VI,2018-02-01,79739,https://steamcdn-a.akamaihd.net/steam/apps/289070/logo.png
691684,346110,ARK: Survival Evolved,2018-02-01,71259,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
693056,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-01-01,3236027,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691858,570,Dota 2,2018-01-01,778627,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673317,730,Counter-Strike: Global Offensive,2018-01-01,715850,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
663302,271590,Grand Theft Auto V,2018-01-01,167754,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
687300,359550,Tom Clancy's Rainbow Six Siege,2018-01-01,109103,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
691685,346110,ARK: Survival Evolved,2018-01-01,86640,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
635120,440,Team Fortress 2,2018-01-01,72845,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
621278,624090,Football Manager 2018,2018-01-01,71279,https://steamcdn-a.akamaihd.net/steam/apps/624090/logo.png
632444,230410,Warframe,2018-01-01,69002,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
667289,252490,Rust,2018-01-01,67410,https://steamcdn-a.akamaihd.net/steam/apps/252490/logo.png
693057,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-12-01,3080769,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691859,570,Dota 2,2017-12-01,864939,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673318,730,Counter-Strike: Global Offensive,2017-12-01,598405,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
663303,271590,Grand Theft Auto V,2017-12-01,170316,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
687301,359550,Tom Clancy's Rainbow Six Siege,2017-12-01,100433,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
691686,346110,ARK: Survival Evolved,2017-12-01,85894,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
632445,230410,Warframe,2017-12-01,76564,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
635121,440,Team Fortress 2,2017-12-01,71122,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
627953,238960,Path of Exile,2017-12-01,70314,https://steamcdn-a.akamaihd.net/steam/apps/238960/logo.png
691261,252950,Rocket League,2017-12-01,65275,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
693058,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-11-01,2915723,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691860,570,Dota 2,2017-11-01,861173,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673319,730,Counter-Strike: Global Offensive,2017-11-01,601881,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
632446,230410,Warframe,2017-11-01,102965,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
687302,359550,Tom Clancy's Rainbow Six Siege,2017-11-01,99110,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
663304,271590,Grand Theft Auto V,2017-11-01,85105,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
635122,440,Team Fortress 2,2017-11-01,84022,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
691687,346110,ARK: Survival Evolved,2017-11-01,63378,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
691262,252950,Rocket League,2017-11-01,60120,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
621280,624090,Football Manager 2018,2017-11-01,58761,https://steamcdn-a.akamaihd.net/steam/apps/624090/logo.png
693059,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-10-01,2390946,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691861,570,Dota 2,2017-10-01,832550,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673320,730,Counter-Strike: Global Offensive,2017-10-01,639968,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
632447,230410,Warframe,2017-10-01,121377,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
635123,440,Team Fortress 2,2017-10-01,97248,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
669780,218620,PAYDAY 2,2017-10-01,92426,https://steamcdn-a.akamaihd.net/steam/apps/218620/logo.png
663305,271590,Grand Theft Auto V,2017-10-01,84553,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
651857,435150,Divinity: Original Sin 2,2017-10-01,80081,https://steamcdn-a.akamaihd.net/steam/apps/435150/logo.png
691263,252950,Rocket League,2017-10-01,73684,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
680740,594570,Total War: WARHAMMER II,2017-10-01,72112,https://steamcdn-a.akamaihd.net/steam/apps/594570/logo.png
693060,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-09-01,1550463,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691862,570,Dota 2,2017-09-01,829555,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673321,730,Counter-Strike: Global Offensive,2017-09-01,665371,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
622373,433850,Z1 Battle Royale,2017-09-01,105111,https://steamcdn-a.akamaihd.net/steam/apps/433850/logo.png
663306,271590,Grand Theft Auto V,2017-09-01,101433,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
651858,435150,Divinity: Original Sin 2,2017-09-01,93350,https://steamcdn-a.akamaihd.net/steam/apps/435150/logo.png
691689,346110,ARK: Survival Evolved,2017-09-01,78303,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
635124,440,Team Fortress 2,2017-09-01,73411,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
691264,252950,Rocket League,2017-09-01,70230,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
680741,594570,Total War: WARHAMMER II,2017-09-01,70165,https://steamcdn-a.akamaihd.net/steam/apps/594570/logo.png
691863,570,Dota 2,2017-08-01,876395,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
693061,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-08-01,874171,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
673322,730,Counter-Strike: Global Offensive,2017-08-01,595781,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
622374,433850,Z1 Battle Royale,2017-08-01,141064,https://steamcdn-a.akamaihd.net/steam/apps/433850/logo.png
663307,271590,Grand Theft Auto V,2017-08-01,121830,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
627957,238960,Path of Exile,2017-08-01,98110,https://steamcdn-a.akamaihd.net/steam/apps/238960/logo.png
687305,359550,Tom Clancy's Rainbow Six Siege,2017-08-01,73641,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
530732,482730,Football Manager 2017,2017-08-01,71624,https://steamcdn-a.akamaihd.net/steam/apps/482730/logo.png
635125,440,Team Fortress 2,2017-08-01,69172,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
669782,218620,PAYDAY 2,2017-08-01,62561,https://steamcdn-a.akamaihd.net/steam/apps/218620/logo.png
691864,570,Dota 2,2017-07-01,824297,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673323,730,Counter-Strike: Global Offensive,2017-07-01,624785,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
693062,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2017-07-01,481291,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
622375,433850,Z1 Battle Royale,2017-07-01,150179,https://steamcdn-a.akamaihd.net/steam/apps/433850/logo.png
663308,271590,Grand Theft Auto V,2017-07-01,112074,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
669783,218620,PAYDAY 2,2017-07-01,99900,https://steamcdn-a.akamaihd.net/steam/apps/218620/logo.png
691691,346110,ARK: Survival Evolved,2017-07-01,72455,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
530733,482730,Football Manager 2017,2017-07-01,69489,https://steamcdn-a.akamaihd.net/steam/apps/482730/logo.png
691266,252950,Rocket League,2017-07-01,68232,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
635126,440,Team Fortress 2,2017-07-01,66951,https://steamcdn-a.akamaihd.net/steam/apps/440/logo.png
691865,570,Dota 2,2017-06-01,923122,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673324,730,Counter-Strike: Global Offensive,2017-06-01,614621,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
